participant_id,video_id,gaze_x,gaze_y,timestamp,video_time
fsdfls,kisi1video1,0,0,222080.774,0.046
fsdfls,kisi1video1,0,0,222080.807,0.079
fsdfls,kisi1video1,0,0,222080.874,0.129
fsdfls,kisi1video1,0,0,222080.907,0.163
fsdfls,kisi1video1,0,0,222080.941,0.212
fsdfls,kisi1video1,0,0,222081.007,0.262
fsdfls,kisi1video1,0,0,222081.041,0.312
fsdfls,kisi1video1,0,0,222081.041,0.362
fsdfls,kisi1video1,0,0,222081.041,0.396
fsdfls,kisi1video1,0,0,222081.174,0.445
fsdfls,kisi1video1,0,0,222081.207,0.479
fsdfls,kisi1video1,0,0,222081.273,0.529
fsdfls,kisi1video1,0,0,222081.307,0.579
fsdfls,kisi1video1,0,0,222081.341,0.613
fsdfls,kisi1video1,0,0,222081.373,0.646
fsdfls,kisi1video1,0,0,222081.44,0.696
fsdfls,kisi1video1,0,0,222081.474,0.745
fsdfls,kisi1video1,0,0,222081.506,0.779
fsdfls,kisi1video1,0,0,222081.574,0.829
fsdfls,kisi1video1,0,0,222081.606,0.879
fsdfls,kisi1video1,0,0,222081.64,0.912
fsdfls,kisi1video1,0,0,222081.706,0.962
fsdfls,kisi1video1,0,0,222081.74,1.012
fsdfls,kisi1video1,0,0,222081.774,1.045
fsdfls,kisi1video1,0,0,222081.84,1.095
fsdfls,kisi1video1,0,0,222081.873,1.129
fsdfls,kisi1video1,0,0,222081.907,1.179
fsdfls,kisi1video1,0,0,222081.907,1.212
fsdfls,kisi1video1,0,0,222081.907,1.246
fsdfls,kisi1video1,0,0,222081.907,1.279
fsdfls,kisi1video1,0,0,222082.039,1.314
fsdfls,kisi1video1,0,0,222082.106,1.363
fsdfls,kisi1video1,0,0,222082.139,1.412
fsdfls,kisi1video1,0,0,222082.173,1.449
fsdfls,kisi1video1,0,0,222082.239,1.496
fsdfls,kisi1video1,0,0,222082.273,1.546
fsdfls,kisi1video1,0,0,222082.306,1.579
fsdfls,kisi1video1,0,0,222082.339,1.613
fsdfls,kisi1video1,0,0,222082.373,1.646
fsdfls,kisi1video1,0,0,222082.439,1.696
fsdfls,kisi1video1,0,0,222082.473,1.729
fsdfls,kisi1video1,0,0,222082.506,1.763
fsdfls,kisi1video1,0,0,222082.54,1.813
fsdfls,kisi1video1,0,0,222082.606,1.863
fsdfls,kisi1video1,0,0,222082.639,1.912
fsdfls,kisi1video1,0,0,222082.672,1.946
fsdfls,kisi1video1,0,0,222082.739,1.996
fsdfls,kisi1video1,0,0,222082.772,2.046
fsdfls,kisi1video1,0,0,222082.805,2.079
fsdfls,kisi1video1,0,0,222082.872,2.129
fsdfls,kisi1video1,0,0,222082.905,2.179
fsdfls,kisi1video1,0,0,222082.939,2.212
fsdfls,kisi1video1,0,0,222083.006,2.262
fsdfls,kisi1video1,0,0,222083.04,2.312
fsdfls,kisi1video1,0,0,222083.072,2.346
fsdfls,kisi1video1,0,0,222083.139,2.395
fsdfls,kisi1video1,0,0,222083.172,2.445
fsdfls,kisi1video1,0,0,222083.205,2.479
fsdfls,kisi1video1,0,0,222083.238,2.512
fsdfls,kisi1video1,0,0,222083.272,2.546
fsdfls,kisi1video1,0,0,222083.339,2.595
fsdfls,kisi1video1,0,0,222083.372,2.629
fsdfls,kisi1video1,0,0,222083.405,2.663
fsdfls,kisi1video1,0,0,222083.438,2.712
fsdfls,kisi1video1,0,0,222083.505,2.762
fsdfls,kisi1video1,0,0,222083.539,2.796
fsdfls,kisi1video1,0,0,222083.571,2.846
fsdfls,kisi1video1,0,0,222083.605,2.879
fsdfls,kisi1video1,0,0,222083.638,2.913
fsdfls,kisi1video1,0,0,222083.671,2.946
fsdfls,kisi1video1,0,0,222083.739,2.995
fsdfls,kisi1video1,0,0,222083.772,3.045
fsdfls,kisi1video1,0,0,222083.805,3.079
fsdfls,kisi1video1,0,0,222083.872,3.129
fsdfls,kisi1video1,0,0,222083.906,3.179
fsdfls,kisi1video1,0,0,222083.939,3.212
fsdfls,kisi1video1,0,0,222083.972,3.246
fsdfls,kisi1video1,0,0,222084.038,3.296
fsdfls,kisi1video1,0,0,222084.072,3.346
fsdfls,kisi1video1,0,0,222084.138,3.396
fsdfls,kisi1video1,0,0,222084.171,3.446
fsdfls,kisi1video1,0,0,222084.204,3.479
fsdfls,kisi1video1,0,0,222084.272,3.529
fsdfls,kisi1video1,0,0,222084.305,3.579
fsdfls,kisi1video1,0,0,222084.371,3.629
fsdfls,kisi1video1,0,0,222084.405,3.679
fsdfls,kisi1video1,0,0,222084.471,3.729
fsdfls,kisi1video1,0,0,222084.504,3.762
fsdfls,kisi1video1,0,0,222084.538,3.796
fsdfls,kisi1video1,0,0,222084.571,3.845
fsdfls,kisi1video1,0,0,222084.604,3.879
fsdfls,kisi1video1,0,0,222084.637,3.912
fsdfls,kisi1video1,0,0,222084.671,3.946
fsdfls,kisi1video1,0,0,222084.738,3.995
fsdfls,kisi1video1,0,0,222084.771,4.029
fsdfls,kisi1video1,0,0,222084.804,4.079
fsdfls,kisi1video1,0,0,222084.837,4.113
fsdfls,kisi1video1,0,0,222084.911,4.164
fsdfls,kisi1video1,0,0,222084.937,4.212
fsdfls,kisi1video1,0,0,222084.971,4.246
fsdfls,kisi1video1,0,0,222085.004,4.279
fsdfls,kisi1video1,0,0,222085.071,4.329
fsdfls,kisi1video1,0,0,222085.104,4.362
fsdfls,kisi1video1,0,0,222085.137,4.396
fsdfls,kisi1video1,0,0,222085.171,4.429
fsdfls,kisi1video1,0,0,222085.204,4.463
fsdfls,kisi1video1,0,0,222085.237,4.513
fsdfls,kisi1video1,0,0,222085.304,4.563
fsdfls,kisi1video1,0,0,222085.337,4.612
fsdfls,kisi1video1,0,0,222085.37,4.646
fsdfls,kisi1video1,0,0,222085.437,4.696
fsdfls,kisi1video1,0,0,222085.47,4.73
fsdfls,kisi1video1,0,0,222085.504,4.779
fsdfls,kisi1video1,0,0,222085.537,4.812
fsdfls,kisi1video1,0,0,222085.57,4.846
fsdfls,kisi1video1,0,0,222085.603,4.879
fsdfls,kisi1video1,0,0,222085.67,4.929
fsdfls,kisi1video1,0,0,222085.703,4.979
fsdfls,kisi1video1,0,0,222085.737,5.012
fsdfls,kisi1video1,0,0,222085.803,5.062
fsdfls,kisi1video1,0,0,222085.837,5.112
fsdfls,kisi1video1,0,0,222085.903,5.162
fsdfls,kisi1video1,0,0,222085.937,5.196
fsdfls,kisi1video1,0,0,222085.97,5.246
fsdfls,kisi1video1,0,0,222086.036,5.295
fsdfls,kisi1video1,0,0,222086.069,5.329
fsdfls,kisi1video1,0,0,222086.103,5.363
fsdfls,kisi1video1,0,0,222086.136,5.413
fsdfls,kisi1video1,0,0,222086.203,5.463
fsdfls,kisi1video1,0,0,222086.237,5.512
fsdfls,kisi2video1,0,0,222091.099,0.036
fsdfls,kisi2video1,0,0,222091.132,0.07
fsdfls,kisi2video1,0,0,222091.166,0.104
fsdfls,kisi2video1,0,0,222091.232,0.153
fsdfls,kisi2video1,0,0,222091.266,0.187
fsdfls,kisi2video1,0,0,222091.299,0.237
fsdfls,kisi2video1,0,0,222091.366,0.287
fsdfls,kisi2video1,0,0,222091.399,0.336
fsdfls,kisi2video1,0,0,222091.432,0.37
fsdfls,kisi2video1,0,0,222091.466,0.404
fsdfls,kisi2video1,0,0,222091.532,0.453
fsdfls,kisi2video1,0,0,222091.566,0.487
fsdfls,kisi2video1,0,0,222091.599,0.537
fsdfls,kisi2video1,0,0,222091.632,0.57
fsdfls,kisi2video1,0,0,222091.699,0.62
fsdfls,kisi2video1,0,0,222091.732,0.67
fsdfls,kisi2video1,0,0,222091.765,0.704
fsdfls,kisi2video1,0,0,222091.832,0.753
fsdfls,kisi2video1,0,0,222091.865,0.787
fsdfls,kisi2video1,0,0,222091.899,0.837
fsdfls,kisi2video1,0,0,222091.932,0.871
fsdfls,kisi2video1,0,0,222091.999,0.92
fsdfls,kisi2video1,0,0,222092.032,0.954
fsdfls,kisi2video1,0,0,222092.065,0.987
fsdfls,kisi2video1,0,0,222092.099,1.021
fsdfls,kisi2video1,0,0,222092.132,1.07
fsdfls,kisi2video1,0,0,222092.165,1.104
fsdfls,kisi2video1,0,0,222092.232,1.154
fsdfls,kisi2video1,0,0,222092.265,1.203
fsdfls,kisi2video1,0,0,222092.298,1.237
fsdfls,kisi2video1,0,0,222092.331,1.271
fsdfls,kisi2video1,0,0,222092.398,1.321
fsdfls,kisi2video1,0,0,222092.431,1.354
fsdfls,kisi2video1,0,0,222092.498,1.388
fsdfls,kisi2video1,0,0,222092.498,1.437
fsdfls,kisi2video1,0,0,222092.532,1.47
fsdfls,kisi2video1,0,0,222092.565,1.505
fsdfls,kisi2video1,0,0,222092.598,1.541
fsdfls,kisi2video1,0,0,222092.664,1.587
fsdfls,kisi2video1,0,0,222092.698,1.64
fsdfls,kisi2video1,0,0,222092.765,1.688
fsdfls,kisi2video1,0,0,222092.798,1.737
fsdfls,kisi2video1,0,0,222092.831,1.771
fsdfls,kisi2video1,0,0,222092.898,1.825
fsdfls,kisi2video1,0,0,222092.931,1.871
fsdfls,kisi2video1,0,0,222092.964,1.907
fsdfls,kisi2video1,0,0,222093.031,1.953
fsdfls,kisi2video1,0,0,222093.065,1.991
